Run,Event,type1,Q1,pt1,eta1,phi1,E1,px1,py1,pz1,type2,Q2,pt2,eta2,phi2,E2,px2,py2,pz2,M
166699,835716681,G,1,4.2116,2.2366,-0.4849,19.9382,3.7261,-1.9631,19.4881,T,-1,1.2556,2.2683,-1.4488,6.1319,0.1528,-1.2463,6.0011,2.1330
166699,836133459,G,-1,2.1479,-2.0159,-2.7753,8.2066,-2.0055,-0.7692,-7.9199,G,1,19.5453,-1.0826,-0.3408,32.1613,18.4210,-6.5332,-25.5406,13.6786
166699,836165498,G,1,21.0732,1.5948,-1.1137,54.0560,9.2997,-18.9102,49.7791,T,-1,2.3864,1.5352,-1.7388,5.7968,-0.3991,-2.3528,5.2818,4.3813
166699,836249706,G,1,18.5889,1.6422,1.1923,49.8180,6.8688,17.2734,46.2199,G,-1,1.8721,1.9704,1.6393,6.8459,-0.1281,1.8678,6.5841,3.2587
166699,835608783,G,-1,11.8194,0.8711,-1.5811,16.5947,-0.1214,-11.8187,11.6479,T,1,0.9408,2.0107,-1.6559,3.5779,-0.0799,-0.9374,3.4504,4.0171
166699,836183239,G,1,44.0991,1.9020,2.6466,151.0120,-38.8053,20.9495,144.4300,G,-1,37.1837,0.9808,-0.5664,56.5483,31.3765,-19.9535,42.6037,89.6863
166699,835710898,G,1,29.7279,-1.8688,-1.6514,98.6158,-2.3927,-29.6315,-94.0282,G,-1,1.9839,-2.0214,1.5645,7.6201,0.0126,1.9839,-7.3565,15.3936
166699,835970906,G,1,3.8012,-1.0865,-0.3812,6.2754,3.5283,-1.4143,-4.9920,T,-1,2.4458,-1.3674,-1.8788,5.1128,-0.7415,-2.3307,-4.4886,4.2394
166699,835830613,G,-1,30.8639,-0.0804,-2.7762,30.9639,-28.8265,-11.0280,-2.4838,T,1,3.3188,0.1867,-1.1015,3.3784,1.5010,-2.9599,0.6233,15.2795
166699,835465214,G,1,41.8052,0.6035,-0.7931,49.6519,29.3319,-29.7879,26.7885,G,-1,47.1219,0.2805,2.4113,48.9885,-35.1042,31.4352,13.3936,89.8847
166699,835804638,G,1,28.7321,-1.2306,-1.0666,53.3766,13.8813,-25.1564,-44.9835,G,-1,7.0396,-1.5433,-1.9572,17.2260,-2.6531,-6.5205,-15.7215,13.0408
166699,836223326,G,1,42.8194,-0.5367,1.6361,49.1350,-2.7951,42.7281,-24.0984,T,-1,1.8678,-1.4611,0.7194,4.2438,1.4049,1.2308,-3.8091,11.6613
166699,836227926,G,-1,10.2128,2.3398,-2.6651,53.4904,-9.0754,-4.6840,52.5063,T,1,0.7442,2.1300,-1.5287,3.1770,0.0313,-0.7435,3.0868,3.0231
166699,835420755,G,1,17.6025,-2.2446,3.0508,83.9882,-17.5299,1.5962,-82.1229,T,-1,1.2688,-2.1432,2.0387,5.4846,-0.5723,1.1324,-5.3348,4.6063
166699,835778027,G,-1,42.5054,1.4427,-0.9370,94.9693,25.1714,-34.2506,84.9261,G,1,39.5548,0.6434,2.1530,48.0276,-21.7514,33.0372,27.2408,88.6198
166699,836225043,G,-1,11.1276,2.1759,0.5391,49.6507,9.5492,5.7127,48.3876,G,1,62.3415,-0.2371,-2.1126,64.1023,-32.1500,-53.4120,-14.9210,95.0457
166699,836105358,G,-1,17.0714,1.0717,2.8747,27.8501,-16.4669,4.5026,22.0042,T,1,2.2223,1.7433,-1.1354,6.5467,0.9374,-2.0149,6.1570,11.9438
166699,836160430,G,1,16.6899,0.4152,-2.0658,18.3965,-8.0389,-14.8851,7.2270,T,-1,1.7030,2.3237,-1.6003,8.7804,-0.0503,-1.7023,8.6130,12.0445
166699,835393108,G,1,3.5695,2.3392,1.6617,18.6848,-0.3240,3.5547,18.3404,T,-1,1.6388,2.2733,0.8398,8.0430,1.0941,1.2202,7.8736,1.9389
166699,836049548,G,-1,20.1253,-1.5242,-0.3610,48.3927,18.8280,-7.1089,-44.0092,T,1,0.7344,-2.1785,2.4081,3.2870,-0.5456,0.4917,-3.2022,7.9783
166699,835769773,G,-1,23.4693,1.1504,3.1296,40.7894,-23.4676,0.2809,33.3611,G,1,5.1526,1.3938,0.9122,11.0223,3.1532,4.0751,9.7433,19.8686
166699,836268853,G,1,3.7583,-2.2942,0.5912,18.8242,3.1204,2.0946,-18.4449,T,-1,1.6674,1.4394,-2.9337,3.7158,-1.6315,-0.3441,3.3190,16.5497
166699,836428061,G,1,18.3677,-1.2905,-0.0469,35.9071,18.3475,-0.8605,-30.8535,T,-1,1.3893,1.6737,-1.9666,3.8356,-0.5356,-1.2819,3.5736,22.6563
166699,836668105,G,1,7.3613,-1.5041,-2.0819,17.3820,-3.6007,-6.4205,-15.7460,G,-1,17.8792,-0.0828,0.8010,17.9408,12.4432,12.8387,-1.4820,28.8353
166699,837074297,G,-1,28.9342,1.9969,1.5398,108.5350,0.8979,28.9202,104.6070,T,1,3.1384,2.0077,1.9143,11.8955,-1.0569,2.9551,11.4735,3.5496
166699,836485171,G,1,2.9598,-2.1981,2.3955,13.4956,-2.1735,2.0090,-13.1667,T,-1,2.6184,-2.1815,2.7836,11.7471,-2.4524,0.9175,-11.4511,1.0746
166699,837058868,G,1,17.1631,0.6019,0.7453,20.3678,12.6133,11.6394,10.9666,T,-1,0.8505,2.3401,-2.8559,4.4570,-0.8160,-0.2397,4.3738,10.5706
166699,836874613,G,1,23.7870,-0.9233,-0.2891,42.9835,28.2208,-8.4382,-31.3042,T,-1,7.1852,-1.0013,2.8802,11.0993,-6.9412,1.8565,-8.4591,26.1643
166699,836887764,G,-1,5.3097,-2.2185,-1.7521,24.6958,-0.9574,-5.2227,-24.1181,T,1,1.1323,2.0411,-1.0919,4.4338,0.5217,-1.0050,4.2855,20.3998
166699,836858688,G,1,16.9882,1.4963,1.5732,39.8298,-0.0415,16.9882,36.0250,T,-1,1.2114,1.6051,1.5852,3.1386,-0.0175,1.2112,2.8935,0.4966
166699,837189586,G,1,8.0214,1.7439,1.5241,23.6422,0.3747,8.0127,22.2396,G,-1,6.1287,-0.6835,-0.1492,7.6177,6.0606,-0.9109,-4.5230,23.9039
166699,837354250,G,1,8.7796,2.3182,-2.0503,45.0208,-4.0502,-7.7895,44.1563,T,-1,1.9429,2.2267,-2.2658,9.1102,-1.2442,-1.4923,8.9000,0.9653
166699,837334089,G,1,5.2835,-2.3938,0.9057,29.1821,3.2606,4.1574,-28.6996,G,-1,5.5346,0.5906,-1.7213,6.5292,-0.8299,-5.4720,3.4623,25.1130
166699,836747309,G,1,2.7386,-2.1826,-1.8856,12.2996,-0.8479,-2.6041,-11.9903,T,-1,2.2961,-2.2604,-2.2985,11.1262,-1.5273,-1.7145,-10.8862,1.0465
166699,837079527,G,1,6.6977,1.1008,-1.3434,11.1827,1.5103,-6.5252,8.9545,T,-1,1.1498,-2.1873,1.2646,5.1882,0.3465,1.0963,-5.0581,14.8274
166699,836922952,G,1,33.6863,-0.1217,-1.4301,33.9361,4.7253,-33.3532,-4.1084,G,-1,6.8025,-0.6183,-0.7241,8.1456,5.0959,-4.5062,-4.4795,12.9325
166699,836945147,G,-1,27.2229,2.1717,-2.9036,120.9670,-26.4558,-6.4170,117.8640,G,1,37.2710,-0.7827,0.4129,49.2826,34.1385,14.9562,-32.2434,146.7040
166699,836967066,G,-1,24.0636,0.9773,-2.3288,36.4987,-16.5437,-17.4747,27.4425,T,1,3.5705,1.0392,-1.3310,5.6793,0.8481,-3.4683,4.4153,8.8889
166699,837417147,G,-1,8.6725,1.4554,-2.1218,19.5974,-4.5404,-7.3890,17.5737,G,1,3.7214,1.0884,-2.5175,6.1528,-3.0200,-2.1745,4.8987,3.0633
166699,837597311,G,1,2.3455,2.3043,-2.3415,11.8645,-1.6340,-1.6826,11.6299,T,-1,0.9173,1.9381,2.6385,3.2534,-0.8037,0.4423,3.1197,1.8592
166699,837981255,G,-1,3.8782,2.2936,0.2840,19.4137,3.7229,1.0865,19.0221,G,1,9.8843,2.0941,1.5033,40.7301,0.6669,9.8617,39.5124,7.1974
166699,837693886,G,-1,3.0278,-2.3494,-1.0959,16.0088,1.3843,-2.6928,-15.7196,T,1,4.4137,-2.3383,-0.7994,23.0848,3.0768,-3.1645,-22.6586,1.0807
166699,837895814,G,1,41.2852,-1.2220,-2.3753,76.1396,-29.7466,-28.6288,-63.9747,G,-1,47.3088,-0.6306,0.8471,57.0320,31.3260,35.4515,-31.8514,92.2114
166699,838134422,G,1,39.3498,0.1536,2.9315,39.8151,-38.4845,8.2068,6.0681,T,-1,0.8079,2.2748,-1.9283,3.9716,-0.2827,-0.7568,3.8871,16.1131
166699,837461224,G,-1,42.4851,-1.0259,-2.3524,66.8738,-29.9273,-30.1553,-51.6440,G,1,36.2839,-0.2429,0.6375,37.3597,29.1568,21.5964,-8.9001,84.4104
166699,837593272,G,-1,3.5561,-2.3704,0.6033,19.1947,2.9282,2.0177,-18.8621,T,1,1.1698,-2.0816,1.3981,4.7635,0.2010,1.1524,-4.6164,1.6857
166699,838104293,G,-1,47.2315,-1.6355,-0.7779,125.7940,33.6474,-33.1462,-116.5910,G,1,49.7680,-0.4184,2.1638,54.1889,-27.8126,41.2712,-21.4376,115.0740
166699,837362432,G,-1,3.9299,-1.3436,-0.2339,8.0444,3.8228,-0.9110,-7.0184,G,1,24.3448,-1.1746,-0.2223,43.1623,23.7458,-5.3673,-35.6412,1.6583
166699,837569332,G,-1,23.3262,-1.0049,-0.3983,36.1278,21.5006,-9.0463,-27.5879,G,1,39.0499,1.1327,-2.9829,66.8949,-38.5589,-6.1730,54.3141,96.8335
166699,837544284,G,-1,6.6972,1.1282,0.0101,11.4315,6.6969,0.0673,9.2637,T,1,1.3803,1.4502,-0.0080,3.1065,1.3803,-0.0110,2.7809,0.9848
166699,837850348,G,-1,17.0357,-2.2089,-2.8925,78.4976,-16.5099,-4.1999,-76.6267,T,1,1.3439,2.1205,-1.5848,5.6828,-0.0188,-1.3438,5.5206,41.5469
166699,838253884,G,-1,8.2661,1.7531,0.2635,24.5733,7.9809,2.1528,23.1410,T,1,2.0303,1.7515,1.0482,6.0275,1.0135,1.7593,5.6742,3.1328
166699,837388813,G,-1,3.7254,-1.6807,-1.5738,10.3485,-0.0110,-3.7254,-9.6541,T,1,1.3128,-2.0291,-1.5907,5.0809,-0.0262,-1.3126,-4.9073,0.7754
166699,837927449,G,-1,5.0447,1.2023,-2.5781,9.1524,-4.2647,-2.6947,7.6358,T,1,1.0134,2.3543,-2.4218,5.3851,-0.7620,-0.6681,5.2878,2.7738
166699,837493502,G,1,1.8066,-2.0943,-1.3803,7.4465,0.3421,-1.7739,-7.2232,G,-1,18.0004,-1.6336,-1.6702,47.8564,-1.7867,-17.9115,-44.3420,3.1211
166699,837761565,G,1,22.2425,0.4285,-3.0145,24.2953,-22.0438,-2.8180,9.8172,T,-1,7.3228,0.4825,-2.9833,8.1926,-7.2313,-1.1541,3.6721,0.7957
166699,838179810,G,-1,17.9615,0.5153,-1.4734,20.5276,1.7591,-17.9882,9.7316,T,1,1.0754,2.0269,-0.3193,4.1535,1.0210,-0.3376,4.0105,8.7290
166699,838202186,G,-1,18.3761,-0.5805,-1.5497,21.5608,0.3880,-18.3720,-11.2773,T,1,4.8920,-0.4311,-0.9198,5.3548,2.9645,-3.8915,-2.1751,6.0426
166699,837528123,G,-1,7.9526,0.9606,-0.0419,11.9136,7.9456,-0.3333,8.8701,G,1,19.9123,0.8209,-1.3254,27.0072,4.8382,-19.3156,18.2450,15.1673
166699,837647235,G,-1,19.0024,-1.0915,-1.8423,31.4915,-5.0960,-18.3064,-25.1119,T,1,1.2705,1.5511,0.7399,3.1328,0.9384,0.8566,2.8617,19.5410
166699,838079515,G,-1,29.1927,1.8667,-2.8100,96.6524,-27.6028,-9.5026,92.1383,G,1,26.0389,-0.3715,0.4517,27.8568,23.4275,11.3655,-9.8978,93.3706
166699,838088307,G,1,12.0965,0.4774,-1.0395,13.5015,6.1283,-10.4293,5.9962,G,-1,17.6846,0.3803,-0.8491,18.9794,11.6831,-13.2759,6.8892,3.1223
